2008-01-03,AA,LAX,JFK,1615,-4.00,0.00,-1,1600-1659,13.00,1624,2400,11.00,0025,0011,-14.00,0.00,-1,0001-0559,0.00,0.00,310.00,300.00,276.00,1.00,2475.00,10,,,,,,OT,56104,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-03,YV,ORD,CLT,2109,0.00,0.00,0,2100-2159,33.00,2142,2400,7.00,2356,0007,11.00,0.00,0,2300-2359,0.00,0.00,107.00,118.00,78.00,1.00,599.00,3,,,,,,DD,60785,2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-04,YV,ORD,CLT,2109,-12.00,0.00,-1,2100-2159,45.00,2142,2400,5.00,2356,0005,9.00,0.00,0,2300-2359,0.00,0.00,107.00,128.00,78.00,1.00,599.00,3,,,,,,DD,61265,2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-04,B6,JFK,PIT,2215,7.00,0.00,0,2200-2259,32.00,2254,2400,4.00,0012,0004,-8.00,0.00,-1,0001-0559,0.00,0.00,117.00,102.00,66.00,1.00,340.00,2,,,,,,DD,72945,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-04,DL,SFO,CVG,1135,300.00,1.00,12,1100-1159,31.00,1706,2400,7.00,1855,0007,312.00,1.00,12,1800-1859,0.00,0.00,260.00,272.00,234.00,1.00,2036.00,9,0.00,0.00,12.00,0.00,300.00,DD,81885,1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-05,OO,ORD,SGF,2035,122.00,1.00,8,2000-2059,20.00,2257,2400,5.00,2219,0005,106.00,1.00,7,2200-2259,0.00,0.00,104.00,88.00,63.00,1.00,438.00,2,0.00,0.00,0.00,0.00,106.00,DD,82581,2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-05,OO,LAX,OAK,2230,17.00,1.00,1,2200-2259,16.00,2303,2400,28.00,2358,0028,30.00,1.00,2,2300-2359,0.00,0.00,88.00,101.00,57.00,1.00,337.00,2,30.00,0.00,0.00,0.00,0.00,DD,82850,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-05,US,CLT,LGA,2159,35.00,1.00,2,2100-2159,11.00,2245,2400,5.00,2347,0005,18.00,1.00,1,2300-2359,0.00,0.00,108.00,91.00,75.00,1.00,544.00,3,18.00,0.00,0.00,0.00,0.00,DD,88372,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-05,B6,JFK,SYR,2255,8.00,0.00,0,2200-2259,15.00,2318,2400,4.00,0009,0004,-5.00,0.00,-1,0001-0559,0.00,0.00,74.00,61.00,42.00,1.00,209.00,1,,,,,,DD,89273,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-05,AA,ORD,LAS,2155,2.00,0.00,0,2100-2159,27.00,2224,2400,6.00,2340,0006,26.00,1.00,1,2300-2359,0.00,0.00,225.00,249.00,216.00,1.00,1515.00,7,0.00,0.00,26.00,0.00,0.00,DD,93183,2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-06,UA,IAD,TPA,2135,23.00,1.00,1,2100-2159,14.00,2212,2400,2.00,2356,0002,6.00,0.00,0,2300-2359,0.00,0.00,141.00,124.00,108.00,1.00,810.00,4,,,,,,DD,100340,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-06,WN,ONT,SMF,2135,71.00,1.00,4,2100-2159,5.00,2251,2400,3.00,2250,0003,73.00,1.00,4,2200-2259,0.00,0.00,75.00,77.00,69.00,1.00,390.00,2,2.00,0.00,2.00,0.00,69.00,DD,103700,2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
