2008-01-08,MQ,ORD,OKC,2125,155.00,1.00,10,2100-2159,14.00,0014,0159,3.00,2330,0202,152.00,1.00,10,2300-2359,0.00,0.00,125.00,122.00,105.00,1.00,693.00,3,0.00,0.00,4.00,0.00,148.00,DD,155957,2400,1127,1343,7467,10,10,2008-01-08,10,10,3,DD,0.00,0.00,4.00,0.00,148.00,8,13,13,17,19,3,7,159,14,2125,2330,202,2400,0,0,4,0,148,159,14,2125
2008-01-08,B6,MCO,PSE,2345,15.00,1.00,1,2300-2359,13.00,0013,0332,3.00,0340,0335,-5.00,0.00,-1,0001-0559,0.00,0.00,175.00,155.00,139.00,1.00,1180.00,5,,,,,,DD,158555,2400,3343,5055,4365,-1,1,2008-01-08,1,-1,5,DD,,,,,,8,4,2,19,1,5,7,332,13,2345,340,335,2400,,,,,,332,13,2345
2008-01-11,YV,LAS,FAT,2355,5.00,0.00,0,2300-2359,19.00,0019,0105,5.00,0110,0110,0.00,0.00,0,0001-0559,0.00,0.00,75.00,70.00,46.00,1.00,258.00,2,,,,,,OT,202183,2400,3836,4310,2227,0,0,2008-01-11,0,0,2,OT,,,,,,11,3,3,19,1,2,6,105,19,2355,110,110,2400,,,,,,105,19,2355
2008-01-11,YV,LAS,MFR,2351,9.00,0.00,0,2300-2359,23.00,0023,0206,4.00,0148,0210,22.00,1.00,1,0001-0559,0.00,0.00,117.00,130.00,103.00,1.00,599.00,3,22.00,0.00,0.00,0.00,0.00,DD,202185,2400,3836,4310,5824,1,0,2008-01-11,0,1,3,DD,22.00,0.00,0.00,0.00,0.00,11,3,4,19,1,3,7,206,23,2351,148,210,2400,22,0,0,0,0,206,23,2351
2008-01-12,AA,KOA,LAX,2355,5.00,0.00,0,2300-2359,11.00,0011,0645,12.00,0655,0657,2.00,0.00,0,0600-0659,0.00,0.00,300.00,297.00,274.00,1.00,2504.00,11,,,,,,OT,224438,2400,1125,1969,3978,0,0,2008-01-12,0,0,11,OT,,,,,,12,3,3,19,2,11,6,645,11,2355,655,657,2400,,,,,,645,11,2355
2008-01-13,YV,LAS,PSP,2359,1.00,0.00,0,2300-2359,20.00,0020,0108,2.00,0110,0110,0.00,0.00,0,0001-0559,0.00,0.00,71.00,70.00,48.00,1.00,173.00,1,,,,,,OT,238107,2400,3836,4310,5147,0,0,2008-01-13,0,0,1,OT,,,,,,13,3,3,19,1,1,6,108,20,2359,110,110,2400,,,,,,108,20,2359
2008-01-13,AA,LAX,MIA,2315,45.00,1.00,3,2300-2359,15.00,0015,0728,7.00,0700,0735,35.00,1.00,2,0700-0759,0.00,0.00,285.00,275.00,253.00,1.00,2342.00,10,17.00,0.00,0.00,0.00,18.00,DD,241610,2400,1125,3978,4388,2,3,2008-01-13,3,2,10,DD,17.00,0.00,0.00,0.00,18.00,13,6,5,19,3,10,7,728,15,2315,700,735,2400,17,0,0,0,18,728,15,2315
2008-01-15,B6,MCO,PSE,2345,15.00,1.00,1,2300-2359,14.00,0014,0333,4.00,0340,0337,-3.00,0.00,-1,0001-0559,0.00,0.00,175.00,157.00,139.00,1.00,1180.00,5,,,,,,DD,281091,2400,3343,5055,4365,-1,1,2008-01-15,1,-1,5,DD,,,,,,15,4,2,19,1,5,7,333,14,2345,340,337,2400,,,,,,333,14,2345
2008-01-17,US,CLT,BUF,2200,120.00,1.00,8,2200-2259,14.00,0014,0124,3.00,2344,0127,103.00,1.00,6,2300-2359,0.00,0.00,104.00,87.00,70.00,1.00,546.00,3,103.00,0.00,0.00,0.00,0.00,DD,318364,2400,5840,1289,980,6,8,2008-01-17,8,6,3,DD,103.00,0.00,0.00,0.00,0.00,17,11,9,18,19,3,7,124,14,2200,2344,127,2400,103,0,0,0,0,124,14,2200
2008-01-17,DL,ATL,SAV,2240,80.00,1.00,5,2200-2259,14.00,0014,0051,7.00,2338,0058,80.00,1.00,5,2300-2359,0.00,0.00,58.00,58.00,37.00,1.00,215.00,1,5.00,0.00,0.00,0.00,75.00,DD,321827,2400,2182,2658,6123,5,5,2008-01-17,5,5,1,DD,5.00,0.00,0.00,0.00,75.00,17,8,8,18,19,1,7,51,14,2240,2338,58,2400,5,0,0,0,75,51,14,2240
